Accession	Description	Topology	Size (bp)	Phylum	Class	Order	Family	Genus	Species	Plasmid	Strain	Collection date	Country	REP types	MOB types	MPF types 	OriT types	Predicted Mobility
NC_011795.1	Escherichia coli plasmid p6148, complete sequence	circular	6148	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	p6148	E2348/69	NA	NA	ColRNAI_rep_cluster_1987	NA	NA	MOBP	Mobilizable
NC_011799.1	Escherichia coli plasmid p5217, complete sequence	circular	5217	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	p5217	E2348/69	NA	NA	ColRNAI_rep_cluster_1857	MOBP,MOBP	NA	MOBP	Mobilizable
NC_011812.1	Escherichia coli plasmid pO26-L, complete sequence	circular	72946	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pO26-L	H30	NA	NA	IncFII,IncFIIA	MOBF	MPF_F	MOBP	Conjugative
NC_011838.1	Pseudomonas putida plasmid pCAR1.2, complete sequence	circular	200231	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	pCAR1.2	CA10	NA	NA	IncP	MOBP	MPF_F	NA	Conjugative
NC_011839.1	Lactobacillus gasseri plasmid pLgLA39, complete sequence	circular	33333	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri	pLgLA39	LA39	NA	NA	rep_cluster_707	MOBQ	MPF_T	NA	Conjugative
NC_011840.1	Borrelia garinii PBr plasmid PBr_cp26, complete sequence	circular	27040	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	PBr_cp26	PBr	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011841.1	Borrelia burgdorferi 156a plasmid 156a_cp32-12, complete sequence	circular	30652	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_cp32-12	156a	NA	NA	rep_cluster_1621	NA	NA	NA	Non-mobilizable
NC_011842.1	Borrelia garinii PBr plasmid PBr_cp32-10, complete sequence	circular	34837	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	PBr_cp32-10	PBr	NA	NA	rep_cluster_1621	NA	NA	NA	Non-mobilizable
NC_011843.1	Borrelia burgdorferi 156a plasmid 156a_cp32-6, complete sequence	circular	30293	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_cp32-6	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011844.1	Borrelia garinii Far04 plasmid Far04_cp26, complete sequence	circular	26994	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	Far04_cp26	Far04	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011845.1	Borrelia burgdorferi 156a plasmid 156a_cp32-7, complete sequence	circular	21329	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_cp32-7	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011846.1	Borrelia burgdorferi 156a plasmid 156a_cp32-1, complete sequence	circular	14883	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_cp32-1	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011847.1	Borrelia burgdorferi 156a plasmid 156a_cp32-8, complete sequence	circular	30946	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_cp32-8	156a	NA	NA	rep_cluster_1621	NA	NA	NA	Non-mobilizable
NC_011848.1	Borrelia garinii PBr plasmid PBr_cp32-5, complete sequence	circular	29694	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	PBr_cp32-5	PBr	NA	NA	rep_cluster_1662	NA	NA	NA	Non-mobilizable
NC_011849.1	Borrelia burgdorferi 156a plasmid 156a_cp32-4, complete sequence	circular	30300	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_cp32-4	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011850.1	Borrelia burgdorferi 156a plasmid 156a_cp32-11, complete sequence	circular	30439	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_cp32-11	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011851.1	Borrelia burgdorferi 156a plasmid 156a_cp32-3, complete sequence	circular	30280	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_cp32-3	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011853.1	Borrelia burgdorferi 156a plasmid 156a_cp26, complete sequence	circular	26522	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_cp26	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011854.1	Borrelia garinii PBr plasmid PBr_lp28-9, complete sequence	linear	38262	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	PBr_lp28-1	PBr	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011855.1	Borrelia garinii PBr plasmid PBr_lp28-7, complete sequence	linear	27006	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	PBr_lp28-7	PBr	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011856.1	Borrelia garinii PBr plasmid PBr_lp25, complete sequence	linear	32543	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	PBr_lp25	PBr	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011857.1	Borrelia garinii PBr plasmid PBr_lp36, complete sequence	linear	36709	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	PBr_lp36	PBr	NA	NA	rep_cluster_307,rep_cluster_2045	NA	NA	NA	Non-mobilizable
NC_011858.1	Borrelia garinii PBr plasmid PBr_lp28-3, complete sequence	linear	17609	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	PBr_lp28-3	PBr	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011859.1	Borrelia garinii PBr plasmid PBr_lp54, complete sequence	linear	56869	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	PBr_lp54	PBr	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011860.1	Borrelia garinii PBr plasmid PBr_lp28-4, complete sequence	linear	40280	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	PBr_lp28-4	PBr	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011861.1	Borrelia garinii PBr plasmid PBr_lp17, complete sequence	linear	20872	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	PBr_lp17	PBr	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011862.1	Borrelia burgdorferi 156a plasmid 156a_lp28-4, complete sequence	linear	29501	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_lp28-4	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011863.1	Borrelia burgdorferi 156a plasmid 156a_lp25, complete sequence	linear	24910	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_lp25	156a	NA	NA	rep_cluster_1858	NA	NA	NA	Non-mobilizable
NC_011864.1	Borrelia burgdorferi 156a plasmid 156a_lp28-1, complete sequence	linear	24159	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_lp28-1	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011865.1	Borrelia burgdorferi 156a plasmid 156a_lp17, complete sequence	linear	17849	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_lp17	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011866.1	Borrelia burgdorferi 156a plasmid 156a_lp28-5, complete sequence	linear	27342	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_lp28-5	156a	NA	NA	rep_cluster_292	NA	NA	NA	Non-mobilizable
NC_011867.1	Borrelia garinii Far04 plasmid Far04_lp36, complete sequence	linear	35446	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	Far04_lp36	Far04	NA	NA	rep_cluster_2045	NA	NA	NA	Non-mobilizable
NC_011868.1	Borrelia burgdorferi 156a plasmid 156a_lp38, complete sequence	linear	30302	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_lp38	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011869.1	Borrelia garinii Far04 plasmid Far04_lp32-10, complete sequence	linear	41906	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	Far04_lp32-10	Far04	NA	NA	rep_cluster_1621	NA	NA	NA	Non-mobilizable
NC_011870.1	Borrelia burgdorferi 156a plasmid 156a_lp36, complete sequence	linear	23638	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_lp36	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011871.1	Borrelia garinii Far04 plasmid Far04_lp17, complete sequence	linear	22433	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	Far04_lp17	Far04	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011872.1	Borrelia burgdorferi 156a plasmid 156a_lp28-6, complete sequence	linear	26705	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_lp28-6	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011873.1	Borrelia garinii Far04 plasmid Far04_lp28-9, complete sequence	linear	27689	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	Far04_lp28-1	Far04	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011874.1	Borrelia burgdorferi 156a plasmid 156a_lp28-3, complete sequence	linear	28770	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_lp28-3	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011875.1	Borrelia garinii Far04 plasmid Far04_lp25, complete sequence	linear	25791	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	Far04_lp25	Far04	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011876.1	Borrelia burgdorferi 156a plasmid 156a_lp54, complete sequence	linear	53885	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	156a_lp54	156a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011877.1	Borrelia garinii Far04 plasmid Far04_lp54, complete sequence	linear	58069	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii	Far04_lp54	Far04	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011878.1	Buchnera aphidicola BCc plasmid pLeu-BCc, complete sequence	circular	6054	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola	pLeu-BCc	BCc	NA	NA	rep_cluster_1489	NA	NA	NA	Non-mobilizable
NC_011879.1	Pseudarthrobacter chlorophenolicus A6 plasmid pACHL01, complete sequence	circular	426858	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	Pseudarthrobacter chlorophenolicus	pACHL01	A6	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011880.1	Cyanothece sp. PCC 7425 plasmid pP742501, complete sequence	circular	196837	Cyanobacteria	NA	Oscillatoriales	Cyanothecaceae	Cyanothece	Cyanothece sp. PCC 7425	pP742501	PCC 7425	NA	NA	NA	MOBF	MPF_T	NA	Conjugative
NC_011881.1	Pseudarthrobacter chlorophenolicus A6 plasmid pACHL02, complete sequence	circular	158475	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	Pseudarthrobacter chlorophenolicus	pACHL02	A6	NA	NA	rep_cluster_856	MOBP	MPF_T	NA	Conjugative
NC_011882.1	Cyanothece sp. PCC 7425 plasmid pP742503, complete sequence	circular	34726	Cyanobacteria	NA	Oscillatoriales	Cyanothecaceae	Cyanothece	Cyanothece sp. PCC 7425	pP742503	PCC 7425	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011885.1	Cyanothece sp. PCC 7425 plasmid pP742502, complete sequence	circular	179973	Cyanobacteria	NA	Oscillatoriales	Cyanothecaceae	Cyanothece	Cyanothece sp. PCC 7425	pP742502	PCC 7425	NA	NA	rep_cluster_1718	NA	NA	NA	Non-mobilizable
NC_011887.1	Methylobacterium nodulans ORS 2060 plasmid pMNOD02, complete sequence	circular	458070	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium nodulans	pMNOD02	ORS 2060	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011888.1	Methylobacterium nodulans ORS 2060 plasmid pMNOD05, complete sequence	circular	20286	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium nodulans	pMNOD05	ORS 2060	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011889.1	Methylobacterium nodulans ORS 2060 plasmid pMNOD06, complete sequence	circular	12638	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium nodulans	pMNOD06	ORS 2060	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011890.1	Methylobacterium nodulans ORS 2060 plasmid pMNOD07, complete sequence	circular	9829	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium nodulans	pMNOD07	ORS 2060	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011892.1	Methylobacterium nodulans ORS 2060 plasmid pMNOD01, complete sequence	circular	487734	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium nodulans	pMNOD01	ORS 2060	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011893.1	Methylobacterium nodulans ORS 2060 plasmid pMNOD03, complete sequence	circular	40463	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium nodulans	pMNOD03	ORS 2060	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011895.1	Methylobacterium nodulans ORS 2060 plasmid pMNOD04, complete sequence	circular	37542	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium nodulans	pMNOD04	ORS 2060	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011917.1	Escherichia coli LF82 plasmid plLF82, complete sequence	circular	108379	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	plLF82	LF82	NA	NA	IncFIB	NA	NA	NA	Non-mobilizable
NC_011960.1	Rhodobacter sphaeroides KD131 plasmid pRSKD131B, complete sequence	circular	103355	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides	pRSKD131B	"KD131	 KCTC 12085"	NA	NA	rep_cluster_252	MOBP	NA	NA	Mobilizable
NC_011961.1	Thermomicrobium roseum DSM 5159 plasmid, complete sequence	circular	917738	Chloroflexi	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobium	Thermomicrobium roseum	unnamed	DSM 5159	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011962.1	Rhodobacter sphaeroides KD131 plasmid pRSKD131A, complete sequence	circular	157345	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides	pRSKD131A	"KD131	 KCTC 12085"	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011964.1	Escherichia coli plasmid pAPEC-O103-ColBM, complete sequence	linear	124705	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pAPEC-O103-ColBM	APEC O103	NA	NA	IncFII,IncQ1,IncFIIA,IncFIB	MOBF	NA	NA	Mobilizable
NC_011965.1	Borrelia burgdorferi 72a plasmid 72a_cp32-13, complete sequence	circular	30117	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	72a_cp32-13	72a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011966.1	Borrelia burgdorferi 72a plasmid 72a_lp32-3, complete sequence	linear	12870	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	72a_lp32-3	72a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011967.1	Borrelia burgdorferi 72a plasmid 72a_cp32-10, complete sequence	circular	30324	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	72a_cp32-10	72a	NA	NA	rep_cluster_1621	NA	NA	NA	Non-mobilizable
NC_011968.1	Borrelia burgdorferi 72a plasmid 72a_cp32-12, complete sequence	circular	27704	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	72a_cp32-12	72a	NA	NA	rep_cluster_1621	NA	NA	NA	Non-mobilizable
NC_011970.1	Borrelia burgdorferi 72a plasmid 72a_cp32-7, complete sequence	circular	30101	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	72a_cp32-7	72a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011971.1	Bacillus cereus Q1 plasmid pBc53, complete sequence	circular	52766	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	pBc53	Q1	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011972.1	Borrelia burgdorferi 72a plasmid 72a_cp32-4, complete sequence	circular	30016	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	72a_cp32-1	72a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011973.1	Bacillus cereus Q1 plasmid pBc239, complete sequence	circular	239246	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	pBc239	Q1	NA	NA	rep_cluster_125	NA	NA	NA	Non-mobilizable
NC_011974.1	Borrelia burgdorferi 72a plasmid 72a_cp26, complete sequence	circular	26522	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	72a_cp26	72a	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_011975.1	Borrelia burgdorferi 72a plasmid 72a_cp32-5, complete sequence	circular	17016	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	72a_cp32-5	72a	NA	NA	rep_cluster_1662	NA	NA	NA	Non-mobilizable
NC_011981.1	Agrobacterium vitis S4 plasmid pAtS4e, complete sequence	circular	631775	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium vitis	pAtS4e	S4	NA	Hungary: Orgovany	rep_cluster_287	MOBQ	MPF_T	NA	Conjugative
NC_011982.1	Agrobacterium vitis S4 plasmid pTiS4, complete sequence	circular	258824	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium vitis	pTiS4	S4	NA	Hungary: Orgovany	rep_cluster_592	MOBQ	MPF_T	NA	Conjugative
NC_011984.1	Agrobacterium vitis S4 plasmid pAtS4c, complete sequence	circular	211620	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium vitis	pAtS4c	S4	NA	Hungary: Orgovany	rep_cluster_553	MOBQ	MPF_T	NA	Conjugative
NC_011986.1	Agrobacterium vitis S4 plasmid pAtS4a, complete sequence	circular	78730	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium vitis	pAtS4a	S4	NA	Hungary: Orgovany	rep_cluster_502	MOBP	MPF_T	NA	Conjugative
NC_011987.1	Agrobacterium radiobacter K84 plasmid pAtK84c, complete sequence	circular	388169	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	pAtK84c	K84	NA	NA	rep_cluster_749	NA	MPF_T	NA	Non-mobilizable
NC_011990.1	Agrobacterium radiobacter K84 plasmid pAtK84b, complete sequence	circular	184668	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	pAtK84b	K84	NA	NA	rep_cluster_490	MOBQ	MPF_T	MOBQ	Conjugative
NC_011991.1	Agrobacterium vitis S4 plasmid pAtS4b, complete sequence	circular	130435	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium vitis	pAtS4b	S4	NA	Hungary: Orgovany	rep_cluster_491	MOBQ	MPF_T	NA	Conjugative
NC_011994.1	Agrobacterium radiobacter K84 plasmid pAgK84, complete sequence	circular	44420	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	pAgK84	K84	NA	NA	rep_cluster_1775	MOBQ	MPF_T	NA	Conjugative
NC_012031.1	Pediococcus pentosaceus plasmid pRS5, complete sequence	circular	10153	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus	pRS5	NA	NA	Spain:Galicia, Ribeira Sacra	rep_cluster_1229	NA	NA	NA	Non-mobilizable
NC_012036.1	Caldicellulosiruptor bescii DSM 6725 plasmid pATHE01, complete sequence	circular	8291	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	Caldicellulosiruptor bescii	pATHE01	DSM 6725	NA	NA	rep_cluster_44	NA	NA	NA	Non-mobilizable
NC_012037.1	Caldicellulosiruptor bescii DSM 6725 plasmid pATHE02, complete sequence	circular	3653	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	Caldicellulosiruptor bescii	pATHE02	DSM 6725	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012088.1	Onion yellows phytoplasma plasmid EcOYW1, complete sequence	circular	7005	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	Onion yellows phytoplasma	EcOYW1	OY	NA	NA	rep_cluster_380	NA	NA	NA	Non-mobilizable
NC_012089.1	Onion yellows phytoplasma plasmid pOYM, complete sequence	circular	3932	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	Onion yellows phytoplasma	pOYM	OY	NA	NA	rep_cluster_674	NA	NA	NA	Non-mobilizable
NC_012090.1	Onion yellows phytoplasma plasmid pOYNIM, complete sequence	circular	3062	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	Onion yellows phytoplasma	pOYNIM	OY	NA	NA	rep_cluster_674	NA	NA	NA	Non-mobilizable
NC_012104.1	Borrelia burgdorferi 64b plasmid 64b_cp26, complete sequence	circular	26525	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_cp26	64b	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012105.1	Borrelia burgdorferi 64b plasmid 64b_cp32-4, complete sequence	circular	30375	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_cp32-4	64b	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012106.1	Borrelia burgdorferi 64b plasmid 64b_cp32-3-8, complete sequence	circular	61062	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_cp32-3-8	64b	NA	NA	rep_cluster_1621	NA	NA	NA	Non-mobilizable
NC_012107.1	Borrelia burgdorferi 64b plasmid 64b_cp32-9, complete sequence	circular	22471	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_cp32-9	64b	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012109.1	Desulfobacterium autotrophicum HRM2 plasmid pHRM2a, complete sequence	circular	68709	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacterium	Desulfobacterium autotrophicum	pHRM2a	HRM2	NA	NA	rep_cluster_1872	MOBQ	NA	NA	Mobilizable
NC_012110.1	Borrelia burgdorferi 64b plasmid 64b_cp32-1, complete sequence	circular	30327	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_cp32-1	64b	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012111.1	Borrelia burgdorferi 64b plasmid 64b_cp32-5, complete sequence	circular	30884	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_cp32-5	64b	NA	NA	rep_cluster_1662	NA	NA	NA	Non-mobilizable
NC_012112.1	Borrelia burgdorferi 64b plasmid 64b_cp32-11, complete sequence	circular	30260	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_cp32-11	64b	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012113.1	Borrelia burgdorferi 64b plasmid 64b_cp32-7, complete sequence	circular	29673	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_cp32-7	64b	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012114.1	Borrelia burgdorferi 64b plasmid 64b_cp32-6, complete sequence	circular	30755	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	64b_cp32-6	64b	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012124.1	Salmonella enterica subsp. enterica serovar Paratyphi C strain RKS4594 plasmid pSPCV, complete sequence	circular	55414	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	pSPCV	RKS4594	NA	NA	IncFIB,IncFII	NA	MPF_T	NA	Non-mobilizable
NC_012128.1	Borreliella valaisiana VS116 plasmid VS116_cp32-5, complete sequence	circular	23419	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella valaisiana	VS116_cp32-5	VS116	NA	NA	rep_cluster_1662	NA	NA	NA	Non-mobilizable
NC_012129.1	Borreliella valaisiana VS116 plasmid VS116_cp26, complete sequence	circular	26875	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella valaisiana	VS116_cp26	VS116	NA	NA	NA	NA	NA	NA	Non-mobilizable
NC_012130.1	Borreliella valaisiana VS116 plasmid VS116_cp9, complete sequence	circular	9474	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella valaisiana	VS116_cp9	VS116	NA	NA	NA	NA	NA	NA	Non-mobilizable
